output_file = "12-1-E-100-1.20-247.csv";

n_days = 100;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [35];

n_configurations = 4;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
];

capacity = [
    [12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 0, 0, 0, 0, 7, 6, 6, 21, 0, 0, 0, 0, 0, 0, 22, 0, 10, 0, 7, 0, 0, 14, 21, 8, 3, 0, 0, 0, 0, 0, 14, 3, 0, 3, 0, 15, 0, 0, 2, 0, 6, 9, 0, 0, 0, 4, 7, 0, 0, 0, 9, 0, 4, 0, 0, 10, 14, 0, 0, 4, 0, 0]
];
