output_file = "12-1-F-100-1.20-301.csv";

n_days = 100;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [35];

n_configurations = 4;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
];

capacity = [
    [12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 6, 0, 0, 8, 0, 0, 0, 0, 6, 8, 0, 0, 0, 0, 3, 9, 4, 0, 8, 0, 0, 0, 6, 4, 4, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 0, 0, 0, 18, 0, 9, 0, 0, 6, 0, 0, 0, 12, 2, 0, 0]
];
