output_file = "12-1-C-80-1.60-123.csv";

n_days = 80;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [15];

n_configurations = 2;

crop_growth_day_config = [
    [1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
];

capacity = [
    [12, 12],
[12, 12],
[12, 12],
[12, 12],
[12, 12],
[12, 12],
[12, 12],
[12, 12],
[12, 12],
[12, 12],
[12, 12],
[12, 12]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 17, 12, 8, 6, 0, 9, 0, 0, 0, 0, 12, 0, 0, 12, 0, 0, 8, 0, 0, 0, 0, 17, 0, 8, 12, 0, 8, 0, 0, 20, 0, 0, 0, 0, 16, 33, 12, 8, 0, 0, 17, 0, 16, 16, 4, 14, 0, 9, 0, 25, 0, 0, 0, 0, 0]
];
