output_file = "12-1-E-60-2.00-215.csv";

n_days = 60;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [35];

n_configurations = 4;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
];

capacity = [
    [12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 24, 0, 0, 0, 18, 22, 0, 0, 0, 0, 0, 16, 14, 20, 0, 0, 0, 0, 0, 8, 0]
];
