output_file = "12-1-F-100-1.40-302.csv";

n_days = 100;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [35];

n_configurations = 4;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
];

capacity = [
    [12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 9, 0, 0, 21, 0, 0, 0, 0, 23, 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 4, 8, 0, 0, 0, 0, 0, 9, 11, 0, 0, 15, 0, 0, 5, 0, 7, 0, 15, 15, 2, 0, 0]
];
