output_file = "9-2-BC-100-1.80-532.csv";

n_days = 100;
n_shelves = 9;
n_crops = 2;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1],
[1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [15, 15];

n_configurations = 3;

crop_growth_day_config = [
    [1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2],
[1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
];

capacity = [
    [12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 10, 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 9, 3, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0, 3, 0, 14, 7, 0, 0, 0, 0, 0, 0, 9, 0, 3, 0, 1, 7, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 1, 0, 10, 0, 7, 0, 0, 0, 0, 0, 0, 7, 0, 3, 0, 0, 9, 9, 0, 0, 3, 3, 0, 0, 7, 0, 0, 1, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 5, 0, 0, 0, 0, 1, 0, 0, 3, 10, 0, 0, 0, 0, 0]
];
