output_file = "9-1-A-80-1.20-7.csv";

n_days = 80;
n_shelves = 9;
n_crops = 1;

crop_shelf_compatible = [
    [0, 0, 0, 0, 0, 0, 1, 1, 1]
];

crop_growth_days = [64];

n_configurations = 3;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
];

capacity = [
    [12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12],
[12, 12, 12]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]
];
