output_file = "12-1-F-100-2.00-305.csv";

n_days = 100;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [35];

n_configurations = 4;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
];

capacity = [
    [12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10],
[12, 12, 10, 10]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12, 8, 12, 8, 0, 0, 0, 10, 16, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 32, 0, 6, 0, 0, 0, 28, 0, 14, 4, 0, 0, 0, 0, 44, 0, 0, 18, 0, 16, 0, 0, 0, 0, 16, 12, 0, 0, 0, 0, 0, 0, 12, 20, 0, 0, 0, 0, 0, 12]
];
