output_file = "12-1-E-80-2.00-233.csv";

n_days = 80;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [35];

n_configurations = 4;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
];

capacity = [
    [12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 0, 0, 0, 12, 0, 0, 8, 0, 0, 26, 4, 16, 16, 14, 0, 0, 0, 0, 0, 0, 14, 0, 42, 0, 0, 0, 0, 0, 26, 0, 16, 6, 0, 18, 0, 0, 0, 18, 10, 0, 0, 0]
];
