output_file = "12-1-E-100-2.00-251.csv";

n_days = 100;
n_shelves = 12;
n_crops = 1;

crop_shelf_compatible = [
    [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
];

crop_growth_days = [35];

n_configurations = 4;

crop_growth_day_config = [
    [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]
];

capacity = [
    [12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12],
[12, 12, 12, 12]
];

demand = [
    [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 14, 10, 18, 0, 18, 0, 16, 0, 0, 20, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 34, 34, 22, 0, 12, 0, 22, 0, 22, 0, 0, 0, 0, 0, 20, 0, 0, 0, 8, 14, 12, 0, 30, 16, 0, 0, 0, 0, 28, 22, 10, 0, 0, 12]
];
